source.name,title,description
Motorsport-total.com,Auch ohne Renault-Wechsel: Ricciardo wäre heute nicht mehr bei Red Bull - Motorsport-Total.com,"McLaren-Pilot Daniel Ricciardo bereut seinen Wechsel zu Renault Ende 2018 nicht - Er w&auml;re heute so oder so nicht mehr bei Red Bull, erkl&auml;rt der Australier"
Www.nzz.ch,Bundesliga: Nagelsmann-Wechsel von RB zu Bayern ist fix - Neue Zürcher Zeitung,"Kein Trainer in München war je jünger, als es Julian Nagelsmann nun sein wird. Er ist den Bayern kolportierte 25 Millionen Euro Ablösesumme inklusive Erfolgsprämien wert – der wohl höchste Betrag, der je für einen Coach ausgehandelt wurde."
Bluewin.ch,Shaqiri will sich offenbar neuen Klub suchen - bluewin.ch,"Ein neues Transferfenster, ein neues Gerücht um Xherdan Shaqiri. Der Schweizer Nationalspieler soll sich nun endlich entschieden haben, den FC Liverpool im Sommer zu verlassen. Ziel der Reise: die Serie A."
Speedweek.com,Ken Roczen (Honda): «Einfach Pech gehabt» - SPEEDWEEK.COM,Zwei Stürze in in Führung liegend haben Ken Roczen (Honda) in der Supercross-Weltmeisterschaft weiter zurückgeworfen. Vor dem letzten Rennen in Salt Lake City 2 hat der Deutsche noch theoretische Titelchancen.
Blick.ch,"National League: Alexander Grenier zu den SCL Tigers, Peter Regin zu Ambri - BLICK",Ambri und die SCL Tigers sind schon länger in den Ferien. Nun wird fleissig am Kader für die nächste Saison gearbeitet. Beide Teams geben die Verpflichtung eines Spielers bekannt.
Www.srf.ch,Tour de Romandie – Dennis gewinnt den Prolog – Bissegger starker Fünfter - Schweizer Radio und Fernsehen (SRF),Das Zeitfahren in Oron wird zur Beute des Zeitfahr-Spezialisten. Aus Schweizer Sicht glänzen Bissegger und Hirschi.
BLICK,Kampf endet tödlich: Boxtalent Rashed Al-Swaisat (19) stirbt nach K. o.,Rashed Al-Swaisat ist im Alter von nur 19 Jahren an den Folgen eines Boxkampfs an der Junioren-WM gestorben. Zehn Tage kämpfte der junge Boxer im Spital um sein Leben.
20 Minuten,Gerardo Seoane : Nach Nagelsmann-Beben – YB-Trainer jetzt bei drei Clubs auf dem Zettel,Verrückt: Die sieben bestplatzierten Clubs der Bundesliga haben in der nächsten Saison alle einen neuen Trainer. YB-Coach Seoane soll bei drei offenen Stellen ein Kandidat sein.
Focus,"Niederlande öffnen trotz Mega-Inzidenz - Mediziner warnen vor ""Code Schwarz"" - FOCUS Online","Die Niederlande sperren wieder auf: Ab Mittwoch dürfen die Außenbereiche in der Gastronomie und Geschäfte wieder geöffnet werden. Und das trotz einer schwindelerregend hohen 7-Tages-Inzidenz. Die Regierung vertraut auf Impfungen, doch Mediziner warnten bereit…"
heise online,"Solar Orbiter: ""Lagerfeuer"" könnten rätselhafte Sonnentemperaturen erklären - heise online","Direkt über der Sonne ist es 300-mal heißer als auf deren Oberfläche. Vom Solar Orbiter entdeckte ""Lagerfeuer"" könnten das erklären."
Www.nzz.ch,Corona-Debatte: Forscher sollten Politik nicht unterschätzen - Neue Zürcher Zeitung,"Nach den jüngsten Bundesratsentscheiden wird einmal mehr die «wissenschaftliche Ignoranz» der Politik lamentiert. Das entlarvt nicht nur die politische Naivität einzelner Experten, sondern ist auch gefährlich für die Wissenschaften."
DIE WELT,Corona: Thüringen wieder Corona-Hotspot in Deutschland - WELT,"Das Robert-Koch-Institut registriert 22.231 neue Corona-Infektionen und die Sieben-Tage-Inzidenz fällt auf 160,6. Thüringen weist wieder die höchste Inzidenz auf. Ein Überblick in Zahlen und Grafiken."
WEB.DE News,"""Ingenuity"": Mars-Hubschrauber liefert erste Farbaufnahmen - WEB.DE News","Der Mars-Hubschrauber ""Ingenuity"" hat schon drei Flüge hinter sich. Bei seinem zweiten Erkundungsflug über den Mars wurden erste farbige Aufnahmen produziert."
t-online.de,Corona/Köln: Inzidenz weiterhin hoch – Impfaktion in Brennpunkten angekündigt - t-online - Köln,"Der Inzidenzwert in Köln ist erneut gesunken, bleibt aber auf einem hohen Niveau. In besonders von Corona betroffenen Stadtteilen sollen zusätzliche Impfungen zum Einsatz kommen."
t-online.de,Corona-News Hamburg: Inzidenzwert fällt unter 100 – über 200 Neuinfektionen - t-online - Hamburg,Zum Mittwoch liegt die Corona-Inzidenz in Hamburg unter 100. Es wurden allerdings auch sieben Todesfälle gemeldet.
Www.fr.de,„Galaktischer Halo“ - Karte der äußeren Milchstraße führt zum Speicher der dunklen Materie - fr.de,Forschende aus den USA veröffentlichen eine neue Karte der äußeren Milchstraße. Basis sind Daten der Weltraumorganisationen Nasa und Esa.
heise online,Synapsen: Wie das Gehirn im Alter fit bleibt - heise online,Wie bleiben unsere neuronalen Verbindungen im Alter aktiv? Göttinger Forscher untersuchen diese Frage mit einem mathematischen Modell.
Focus,Wegen schmelzender Gletscher: Der Klimawandel verschiebt die Erdachse - FOCUS Online,Mehrere Faktoren lassen die Erdachse kippen. Die schmelzenden Gletscher der Nordhalbkugel geben dem Planeten nur einen zusätzlichen Dreh.
Bild,Corona-Inzidenz in Bayern: Zahl der Regionen mit unter 100 steigt - BILD,München/Nürnberg – In elf Landkreisen und kreisfreien Städten haben sich in den vergangenen sieben Tagen weniger als 100 pro 100 000 Menschen infiziert.
t-online.de,"Long-Covid-Patientin im Video: ""Es ist ein unheimliches Gefühl"" - t-online",Langzeitfolgen durch eine Covid-19-Erkrankung rücken in den Fokus der Wissenschaft. Essener Neurologen sprechen von Beschwerden im Bereich des Nervensystems.
Focus,Erste Hitzewelle mit bis zu 35 Grad! Wüstenwind Schirokko fegt durch Europa - FOCUS Online,In Deutschland ist und bleibt es im Schnitt zu kalt. Im Lauf dieser Woche kommt im Gegensatz dazu eine Hitzewelle auf Südosteuropa zu. Es werden etwa 15 Grad mehr als gewöhnlich erwartet.
heise online,Steigende Temperaturen: Dieser Kaffee ist gegen den Klimawandel resistent - heise online,"Die erst vor wenigen Jahren in Westafrika wiederentdeckte Kaffeeart ""Coffea stenophylla"" könnte höheren Temperaturen bei fortschreitender Erderwärmung trotzen."
futurezone.at,"Elon Musk: Mars ist für Entdecker, die ""wahrscheinlich sterben"" werden - futurezone.at",Der SpaceX-Gründer macht sich über den möglichen Ausgang einer Reise zum Roten Planeten keine Illusionen.
Ruhr24.de,Supermond heute noch mal sehen: Pinker Mond ist Spektakel am Himmel - ruhr24.de,"Gerade erst ist der Sternschnuppenschauer der „Lyriden“ vorbei, steht das nächste Spektakel an. Heute Nacht leuchtet der Supermond am Nachthimmel in Deutschland und NRW."
Www.nau.ch,SpaceX: Astronauten erlebten auf Weg zur ISS Beinahecrash - Nau.ch,"SpaceX schickte vier Astronauten Richtung ISS, gestern kamen sie sicher an. Der Weg dorthin war aber alles andere als einfach."
Www.nzz.ch,Coronavirus: Negativtests als Eintrittsbillett für Restaurants - Neue Zürcher Zeitung,Ein Experiment im deutschen Tübingen ermöglichte ab Mitte März während sechs Wochen für Personen mit Covid-19-Negativtest den Zugang zu diversen Aktivitäten. Eine neue Studie über die Wirkungen des Projekts lässt aufhorchen.
Aargauerzeitung.ch,Corona - Verbreiteter Irrtum: Wie man sich auch auf einer Restaurant-Terrasse mit Corona anstecken kann | Aargauer Zeitung - Aargauer Zeitung,"Immer weniger Gäste halten sich in Cafés oder auf Restaurant-Terrassen an die Maskenpflicht zwischen der Konsumation. Eine Virenübertragung durch Aerosole ist im Freien beinahe ausgeschlossen. Allerdings ist es ein verbreiterter Irrtum zu glauben, dass kein I…"
fr.de,„Galaktischer Halo“ - Karte der äußeren Milchstraße führt zum Speicher der dunklen Materie,Forschende aus den USA veröffentlichen eine neue Karte des galaktischen Halos. Basissind Daten der Weltraumorganisationen Nasa und Esa
ruhr24.de,Supermond noch einmal sehen: Pinker Mond ist Spektakel am Himmel,Heute Nacht leuchtet der Supermond am Himmel in Deutschland und NRW – vor allem am frühen Morgen.
scinexx | Das Wissensmagazin,Neuer Stamm von Mikroben entdeckt,Klimafreundliche Mikroben: Forscher haben in heißen Quellen einen zuvor unbekannten Stamm von Archaeen mit ungewöhnlichem Stoffwechsel entdeckt. Die
Schweizer Radio und Fernsehen (SRF),Asteroiden und Meteoriten - Asteroiden: Wie viele die Erde treffen und welche gefährlich sind,"Dass Meteoriten und kleine Bruchstücke die Erde treffen, passiert gar nicht so selten. Nur wenige davon sind verheerend."
Schweizer Radio und Fernsehen (SRF),Planetare Verteidigungsübung - Asteroideneinschlag auf der Erde? Experten proben den Ernstfall,"Ein Asteroideneinschlag könnte verheerende Folgen haben. Fachleute üben, wie eine Katastrophe verhindert werden kann."
20 Minuten,Rekord-Eruption - Extremer Strahlen-Ausbruch auf Proxima Centauri,Astronomen haben bei unserem Nachbarstern Proxima Centauri einen der stärksten je beobachteten Strahlenausbrüche eingefangen. Für die beiden Planeten nebendran sind solche Ausbrüche keine gute Nachrichten.
scinexx | Das Wissensmagazin,Riesenstern im Todeskampf,Stellarer Kampf ums Überleben: Im Zentrum dieses leuchtenden Gebildes aus glühendem Gas und Staub liegt einer der hellsten und schwersten Sterne unserer
Faz.net,Was ein Breitband-Impfstoff bringen könnte - FAZ - Frankfurter Allgemeine Zeitung,Indien als Menetekel: Die Erfahrung mit Virusvarianten führt Wissenschaftler zu immunologischen Vergleichen mit Influenza und Masern. Gibt es bald eine Breitband-Impfung?
Heilpraxisnet.de,Hörverlust bekämpfen mit der Hilfe von Licht - Heilpraxisnet.de,"Durchbruch bei der Bekämpfung von Hörverlust? Mit der Hilfe von Lichtimplantaten könnte Menschen, die unter Taubheit oder einem hochgradigem Hörverlust leiden, das Hören ermöglicht werden. Durch neue Forschung konnten wichtige Parameter für das Design und die…"
Praxisvita.de,Coronavirus-Symptome: Der Unterschied zur Grippe und Erkältung - Praxisvita,"Welche Unterschiede gibt es zwischen Corona, einer Erkältung und der Grippe? Eine Tabelle mit allen Symtpomen!"
Ruhr24.de,Vitamin-B12-Mangel: So erkennen Sie die Symptome - Fuldaer Zeitung,"Vitamin-B-12-Mangel – viele haben ihn und wissen nichts davon. In welchen Lebensmitteln Vitamin B12 enthalten ist, wie sich ein Mangel äußert und auf welche Symptome Sie achten sollten."
t-online.de,Kaffee: Diese sieben Fehler sollten Sie vermeiden - t-online.de,"Beim Kaffeekochen schleichen sich häufig Gewohnheiten ein, die das Geschmackserlebnis beeinträchtigen. Wir erklären, wie Sie den besten Kaffee bekommen."
Heidelberg24.de,Corona-Impfung: Alkohol-Verbot für 2 Monate? Expertin warnt vor zu frühem Trinken - heidelberg24.de,"Für Menschen, die eine Corona-Impfung erhalten haben, sollte Alkohol tabu sein. Eine Expertin rät zu einer drastischen Zeitspanne und warnt vor Konsequenzen:"
Doccheck.com,BAALC schaltet Leukämiezellen aus - DocCheck News,Wie entsteht Leukämie? Eine molekulare Ursache konnte nun in zwei Studien identifiziert werden.
Www.hna.de,Corona-Studie: Darum ist Sars-Cov-2 gefährlicher als gewöhnliche Coronaviren - Frankfurter Neue Presse,"Ein Forscherteam hat wahrscheinlich den Grund gefunden, warum das Sars-Cov-2-Virus im Vergleich zu anderen Coronaviren so gefährlich für den Menschen sein kann."
N-tv.de,Stärke des Effekts entscheidend:Warmes Wetter schlecht fürs Virus? - n-tv NACHRICHTEN,"Eigentlich gilt sonniges, warmes Wetter als Gift für Coronaviren, und im vergangenen Jahr sanken mit den steigenden Temperaturen die Fallzahlen. Kann man mit diesem Effekt auch in diesem Frühjahr rechnen? Und wenn ja, fällt er stark genug aus, um Sars-CoV-2 z…"
Www.nzz.ch,Coronavirus: Was bringt der Antikörpertest? - Neue Zürcher Zeitung,"Bluttests geben Aufschluss über eine zurückliegende Infektion mit Sars-Cov-2. Doch ob und wie lange der Immunschutz bestehen bleibt, ist immer noch schwer abzuleiten. Als Grundlage für ein Zertifikat, das Zugang zu Grossanlässen gewährt, reichen die Tests jed…"
t-online.de,Ernährung gegen Schlaganfall: Negative Effekte lassen sich ausgleichen - t-online,"Eine Studie zeigt, welche Lebensmittel das Schlaganfallrisiko erhöhen und welche es reduzieren."
Aerztezeitung.de,Gezuckerte Getränke kurbeln Fettproduktion in der Leber an - Ärzte Zeitung,"Der Konsum von Limonaden mit zugesetztem Zucker verdoppelt die Fettproduktion nachhaltig, so eine aktuelle Studie."
Www.fr.de,Vitamin-D-Mangel: Künstliche Zufuhr kann Ihrer Gesundheit massiv schaden - Frankfurter Rundschau,"Für den Körper ist Vitamin D enorm wichtig. Es gibt Wege, einem Mangel vorzubeugen. Doch Achtung – eine Überversorgung kann schädlich für die Gesundheit sein."
Healthnewsnet.de,Durch Grünfärbung ertappt: Wie sich das Coronavirus mit körpereigenen Molekülen vor der Immunabwehr schützt - Healthnews,"Um ein Virus zu bekämpfen, formt der Körper eine Immunantwort. Teil dieser Reaktion ist das Bilden von Antikörpern, die die Viren neutralisieren. Doch britis"
Freundin.de,Studie: Diese Abstandsregel schützt nicht vor einer Corona-Infektion | freundin.de - freundin,"Die Abstandsregel zählt zu den Nummer-eins-Methoden, um sich vor einer Ansteckung mit Covid-19 zu schützen. Doch hilft diese Regel überhaupt in Innenräumen?"
scinexx | Das Wissensmagazin,"Erstes Land schon vor 3,7 Milliarden Jahren? - Kontinentale Kruste könnte 500 Millionen Jahre früher entstanden sein als gedacht - scinexx.de - scinexx | Das Wissensmagazin","Uralte Landkruste: Unser Planet könnte schon vor 3,7 Milliarden Jahren Vorformen der Kontinente besessen haben – 500 Millionen Jahre früher als gedacht."
Wetter.travel,"Die globalen Masern -, Mumps-und Röteln-Virus-Impfstoff-Markt Branche, Trends Und Prognose, Analyse - wetter.travel - Wetterinformationen auf wetter.travel","Die Globalen Masern -, Mumps-und Röteln-Virus-Impfstoff-Bericht Monitore-Industrie-Wachstum. Die Studie prognostiziert die Aussichten für die kommenden Masern -, Mumps-und Röteln-Virus-Impfstoff Chancen für die prognostizierten Zeitraum 2021 bis…"
Pressetext.com,Pilze reduzieren Krebsrisiko signifikant - Pressetext.com,Tägliches Essen senkt Wahrscheinlichkeit einer ernsten Erkranklung um bis zu 45 Prozent
Pressetext.com,Rotes und verarbeitetes Fleisch schadet Herz - Pressetext.com,Beobachtungsstudie mit rund 20.000 Teilnehmern aus Großbritannien setzt auf neue Ansätze
Heilpraxisnet.de,Coronavirus-Infektion: Immunantwort auf SARS-CoV-2 im Darm untersucht,"Bereits mehrere Studien haben gezeigt, dass das Coronavirus SARS-CoV-2 auch den Darm infizieren kann. Ein europäisches Forschungsteam untersuchte nun, wie die Zellen im Darm auf eine SARS-CoV-2-Infektion reagieren. Dabei zeigte sich, dass der Darm vielleicht eine größere Rolle im Infektionsgeschehen spielt, als bislang gedacht."
tz.de,WhatsApp-Virus: Schadsoftware klaut die Daten seiner Opfer,"Auf WhatsApp wurde eine schadhafte Software entdeckt, die sich über den Messengerdienst verbreitet"
Frankfurter Neue Presse,Corona-Studie: Darum ist Sars-Cov-2 gefährlicher als gewöhnliche Coronaviren,"Ein Forscherteam hat wahrscheinlich den Grund gefunden, warum das Sars-Cov-2 Virus im Vergleich zu anderen Coronaviren so gefährlich für den Menschen sein kann."
Heilpraxisnet.de,Leukämie: Neue Ursache der Blutkrebs-Entstehung identifiziert,"Forschende aus Deutschland haben eine neue Ursache der Entstehung von Leukämie (Blutkrebs) entdeckt. Sie haben damit ein neuartiges experimentelles Modell etabliert, das es Patientinnen und Patienten mit Leukämie in Zukunft ermöglicht, spezifischer behandelt zu werden."
Heilpraxisnet.de,Coronavirus-Epidemie bereits vor mehr als 20.000 Jahren in Ostasien?,"Es scheint bereits vor mehr als 20.000 Jahren eine Coronavirus-Epidemie gegeben zu haben, welche auf Ostasien beschränkt war und das Ergbut der dortigen Bevölkerung signifikant verändert hat. Diese Erkenntnis basiert auf einer aktuellen evolutionären Analyse menschlicher Genomdatensätze, bei der deutliche Genveränderungen von Menschen in Ostasien festgestellt wurden."
scinexx | Das Wissensmagazin,Corona: Antikörper verrät Risiko für schweren Verlauf,"Ein Bluttest kann verraten, ob bei einem Covid-19- Patienten ein schwerer Verlauf droht. Denn wenn im Blut Antikörper gegen das Erkältungs-Coronavirus"
Heilpraxisnet.de,COVID-19: Erhöhtes Sterberisiko noch nach Monaten - auch bei leichtem Krankheitsverlauf,"Eine neue Studie aus den USA zeigt, dass selbst leichte Fälle von COVID-19 das Sterberisiko in den sechs Monaten nach der Diagnose erhöhen und dass dieses Risiko mit der Schwere der Erkrankung zunimmt."
